CountryState,lat,lng
U.S. MO,37.9642529,-91.8318334
U.S. IL,40.6331249,-89.3985283
U.S. AR,35.20105,-91.8318334
U.S. TX,31.9685988,-99.9018131
U.S. LA,30.9842977,-91.9623327
U.S. AL,32.3182314,-86.902298
U.S. OK,35.0077519,-97.092877
U.S. KS,39.011902,-98.4842465
U.S. MS,32.3546679,-89.3985283
U.S. ND,47.5514926,-101.0020119
U.S. IA,41.8780025,-93.097702
U.S. WI,43.7844397,-88.7878678
U.S. OH,40.4172871,-82.907123
U.S. NC,35.7595731,-79.0192997
U.S. PA,41.2033216,-77.1945247
U.S. IN,37.09024,-95.712891
U.S. MN,46.729553,-94.6858998
U.S. CT,41.6032207,-73.087749
U.S. KY,37.8393332,-84.2700179
U.S. TN,35.5174913,-86.5804473
U.S. GA,40.6658509,-74.6135506
U.S. SC,33.836081,-81.1637245
U.S. CO,39.5500507,-105.7820674
U.S. MT,46.8796822,-110.3625658
U.S. NE,41.4925374,-99.9018131
U.S. MI,44.3148443,-85.6023643
U.S. NH,43.1938516,-71.5723953
U.S. MA,42.4072107,-71.3824374
U.S. NM,34.5199402,-105.8700901
U.S. SD,43.9695148,-99.9018131
U.S. FL,27.6648274,-81.5157535
U.S. WY,43.0759678,-107.2902839
U.S. NY,43.2994285,-74.2179326
U.S. AZ,34.0489281,-111.0937311
U.S. VA,37.4315734,-78.6568942
U.S. NJ,40.0583238,-74.4056612
U.S. DE,38.9108325,-75.5276699
U.S. MD,32.679868,-97.1178742
U.S. WV,38.5976262,-80.4549026
U.S. WA,47.7510741,-120.7401385
U.S. OR,43.8041334,-120.5542012
U.S. CA,36.778261,-119.4179324
U.S. UT,39.3209801,-111.0937311
U.S. VT,44.5588028,-72.5778415
